DATE,HOME,AWAY,HSCORE,ASCORE
2020-12-22,GSW,BKN,99,125
2020-12-22,LAC,LAL,116,109
2020-12-23,CHA,CLE,114,121
2020-12-23,NYK,IND,107,121
2020-12-23,MIA,ORL,107,113
2020-12-23,WAS,PHI,107,113
2020-12-23,MIL,BOS,121,122
2020-12-23,NOP,TOR,113,99
2020-12-23,ATL,CHI,124,104
2020-12-23,SAS,MEM,131,119
2020-12-23,DET,MIN,101,111
2020-12-23,SAC,DEN,124,122
2020-12-23,UTA,POR,120,100
2020-12-23,DAL,PHX,102,106
2020-12-25,NOP,MIA,98,111
2020-12-25,GSW,MIL,99,138
2020-12-25,BKN,BOS,123,95
2020-12-25,DAL,LAL,115,138
2020-12-25,LAC,DEN,121,108
2020-12-26,ATL,MEM,122,112
2020-12-26,OKC,CHA,109,107
2020-12-26,CLE,DET,128,119
2020-12-26,ORL,WAS,130,120
2020-12-26,PHI,NYK,109,89
2020-12-26,IND,CHI,125,106
2020-12-26,TOR,SAS,114,119
2020-12-26,MIN,UTA,116,111
2020-12-26,HOU,POR,126,128
2020-12-26,PHX,SAC,103,106
2020-12-27,DAL,LAC,124,73
2020-12-27,BKN,CHA,104,106
2020-12-27,ORL,WAS,120,113
2020-12-27,SAS,NOP,95,98
2020-12-27,PHI,CLE,94,118
2020-12-27,MIL,NYK,110,130
2020-12-27,BOS,IND,107,108
2020-12-27,GSW,CHI,129,128
2020-12-27,PHX,SAC,116,100
2020-12-27,MIN,LAL,91,127
2020-12-28,DET,ATL,120,128
2020-12-28,MEM,BKN,116,111
2020-12-28,UTA,OKC,110,109
2020-12-28,HOU,DEN,111,124
2020-12-28,POR,LAL,115,107
2020-12-29,NYK,CLE,95,86
2020-12-29,GSW,DET,116,106
2020-12-29,BOS,IND,116,111
2020-12-29,TOR,PHI,93,100
2020-12-29,CHI,WAS,115,107
2020-12-29,MIL,MIA,144,97
2020-12-29,ORL,OKC,118,107
2020-12-29,NOP,PHX,86,111
2020-12-29,MIN,LAC,101,124
2020-12-29,DEN,SAC,115,125
2020-12-30,MEM,BOS,107,126
2020-12-30,ATL,BKN,141,145
2020-12-30,MIL,MIA,108,119
2020-12-30,CHA,DAL,118,99
2020-12-30,LAL,SAS,121,107
2020-12-30,POR,LAC,105,128
2020-12-31,CLE,IND,99,119
2020-12-31,CHI,WAS,133,130
2020-12-31,PHI,ORL,116,92
2020-12-31,SAC,HOU,119,122
2020-12-31,NYK,TOR,83,100
2020-12-31,NOP,OKC,113,80
2020-12-31,PHX,UTA,106,95
2021-01-01,MEM,CHA,108,93
2021-01-01,BOS,DET,93,96
2021-01-01,MIA,DAL,83,93
2021-01-01,ATL,BKN,114,96
2021-01-01,CHI,MIL,96,126
2021-01-01,WAS,MIN,130,109
2021-01-01,LAL,SAS,109,103
2021-01-01,PHX,DEN,106,103
2021-01-01,LAC,UTA,100,106
2021-01-01,POR,GSW,123,98
2021-01-02,SAC,HOU,94,102
2021-01-02,NYK,IND,106,102
2021-01-02,OKC,ORL,108,99
2021-01-02,CHA,PHI,112,127
2021-01-02,CLE,ATL,96,91
2021-01-02,TOR,NOP,116,120
2021-01-03,BOS,DET,122,120
2021-01-03,WAS,BKN,123,122
2021-01-03,LAL,MEM,108,94
2021-01-03,DEN,MIN,124,109
2021-01-03,UTA,SAS,130,109
2021-01-03,DAL,CHI,108,118
2021-01-03,LAC,PHX,112,107
2021-01-03,POR,GSW,122,137
2021-01-04,CLE,ORL,83,103
2021-01-04,CHA,PHI,101,118
2021-01-04,NYK,ATL,113,108
2021-01-04,OKC,MIA,90,118
2021-01-04,BOS,TOR,126,114
2021-01-04,DAL,HOU,113,100
2021-01-04,DET,MIL,115,125
2021-01-04,IND,NOP,118,116
2021-01-04,SAC,GSW,106,137
2021-01-05,UTA,BKN,96,130
2021-01-05,LAL,MEM,94,92
2021-01-05,MIN,DEN,116,123
2021-01-05,SAS,LAC,116,113
2021-01-05,CHI,POR,111,108
2021-01-06,HOU,IND,107,114
2021-01-06,CLE,ORL,94,105
2021-01-06,WAS,PHI,136,141
2021-01-06,CHA,ATL,102,94
2021-01-06,BOS,MIA,107,105
2021-01-06,UTA,NYK,100,112
2021-01-06,DET,MIL,115,130
2021-01-06,OKC,NOP,111,110
2021-01-06,TOR,PHX,115,123
2021-01-06,LAC,GSW,108,101
2021-01-06,CHI,SAC,124,128
2021-01-07,PHI,BKN,109,122
2021-01-07,CLE,MEM,94,90
2021-01-07,DAL,DEN,124,117
2021-01-07,SAS,LAL,118,109
2021-01-07,MIN,POR,117,135
2021-01-08,PHX,DET,105,110
2021-01-08,WAS,BOS,107,116
2021-01-08,OKC,NYK,101,89
2021-01-08,CHA,NOP,118,110
2021-01-08,ORL,HOU,90,132
2021-01-08,BKN,MEM,110,115
2021-01-08,UTA,MIL,131,118
2021-01-08,LAC,GSW,105,115
2021-01-08,CHI,LAL,115,117
2021-01-08,TOR,SAC,144,123
2021-01-09,DEN,PHI,115,103
2021-01-09,ATL,CHA,105,113
2021-01-09,PHX,IND,125,117
2021-01-09,MIA,WAS,128,124
2021-01-09,CLE,MIL,90,100
2021-01-09,SAS,MIN,125,122
2021-01-09,ORL,DAL,98,112
2021-01-09,POR,SAC,125,99
2021-01-10,UTA,DET,96,86
2021-01-10,CHI,LAC,127,130
2021-01-10,OKC,BKN,129,116
2021-01-10,DEN,NYK,114,89
2021-01-10,LAL,HOU,120,102
2021-01-10,SAS,MIN,88,96
2021-01-10,TOR,GSW,105,106
2021-01-11,NYK,CHA,88,109
2021-01-11,MEM,CLE,101,91
2021-01-11,MIL,ORL,121,99
2021-01-11,PHX,WAS,107,128
2021-01-11,PHI,ATL,94,112
2021-01-11,TOR,POR,111,112
2021-01-11,IND,SAC,122,127
2021-01-12,MIA,PHI,134,137
2021-01-12,DEN,BKN,116,122
2021-01-12,UTA,CLE,117,87
2021-01-12,LAL,HOU,117,100
2021-01-12,SAS,OKC,112,102
2021-01-12,IND,GSW,104,95
2021-01-13,DAL,CHA,104,93
2021-01-13,MIL,DET,110,101
2021-01-13,BKN,NYK,116,109
2021-01-13,MEM,MIN,118,107
2021-01-13,LAL,OKC,128,99
2021-01-13,NOP,LAC,106,111
2021-01-13,POR,SAC,132,126
2021-01-14,MIA,PHI,108,125
2021-01-14,CHA,TOR,108,111
2021-01-14,HOU,SAS,109,105
2021-01-14,GSW,DEN,104,114
2021-01-14,IND,POR,111,87
2021-01-15,ORL,BOS,97,124
2021-01-15,NYK,CLE,103,106
2021-01-15,DAL,MIL,109,112
2021-01-15,CHI,OKC,125,127
2021-01-15,ATL,UTA,92,116
2021-01-15,NOP,LAL,95,112
2021-01-15,LAC,SAC,138,100
2021-01-16,HOU,SAS,91,103
2021-01-16,ORL,BKN,115,122
2021-01-16,CHA,TOR,113,116
2021-01-16,DET,MIA,120,100
2021-01-16,PHI,MEM,104,106
2021-01-16,ATL,POR,106,112
2021-01-17,NYK,BOS,105,75
2021-01-17,CHI,DAL,117,101
2021-01-17,UTA,DEN,109,105
2021-01-17,NOP,SAC,128,123
2021-01-17,IND,LAC,96,129
2021-01-18,ORL,NYK,84,91
2021-01-18,MIN,ATL,97,108
2021-01-18,SAS,POR,125,104
2021-01-18,PHX,MEM,104,108
2021-01-18,MIL,BKN,123,125
2021-01-18,DAL,TOR,93,116
2021-01-18,DET,MIA,107,113
2021-01-18,HOU,CHI,120,125
2021-01-18,GSW,LAL,115,113
2021-01-19,OKC,DEN,101,119
2021-01-19,NOP,UTA,102,118
2021-01-20,BKN,CLE,135,147
2021-01-20,DAL,IND,124,112
2021-01-20,BOS,PHI,109,117
2021-01-20,DET,ATL,115,123
2021-01-20,MIA,TOR,111,102
2021-01-20,ORL,MIN,97,96
2021-01-20,PHX,HOU,109,103
2021-01-20,SAS,GSW,99,121
2021-01-20,SAC,LAC,96,115
2021-01-21,LAL,MIL,113,106
2021-01-21,NOP,UTA,118,129
2021-01-21,NYK,GSW,119,104
2021-01-22,CHI,CHA,123,110
2021-01-22,HOU,DET,103,102
2021-01-22,ORL,IND,118,120
2021-01-22,BKN,CLE,113,125
2021-01-22,BOS,PHI,110,122
2021-01-22,MIA,TOR,81,101
2021-01-22,ATL,MIN,116,98
2021-01-22,DAL,SAS,122,117
2021-01-22,DEN,PHX,130,126
2021-01-22,OKC,LAC,106,120
2021-01-22,NYK,SAC,94,103
2021-01-23,PHI,DET,114,110
2021-01-23,MIA,BKN,124,128
2021-01-23,NOP,MIN,110,120
2021-01-23,GSW,UTA,108,127
2021-01-23,LAL,CHI,101,90
2021-01-23,HOU,DAL,133,108
2021-01-23,DEN,PHX,120,112
2021-01-24,TOR,IND,107,102
2021-01-24,OKC,LAC,100,108
2021-01-24,CLE,BOS,103,141
2021-01-24,CHA,ORL,107,104
2021-01-24,WAS,SAS,101,121
2021-01-24,ATL,MIL,115,129
2021-01-24,NYK,POR,113,116
2021-01-25,PHI,DET,104,119
2021-01-25,TOR,IND,114,129
2021-01-25,CHA,ORL,108,117
2021-01-25,MIA,BKN,85,98
2021-01-25,LAL,CLE,115,108
2021-01-25,DEN,DAL,117,113
2021-01-25,BOS,CHI,119,103
2021-01-25,MIN,GSW,108,130
2021-01-25,OKC,POR,125,122
2021-01-26,LAC,ATL,99,108
2021-01-26,WAS,HOU,88,107
2021-01-26,NYK,UTA,94,108
2021-01-27,IND,CHA,116,106
2021-01-27,DET,CLE,107,122
2021-01-27,SAC,ORL,121,107
2021-01-27,BKN,ATL,132,128
2021-01-27,DEN,MIA,109,82
2021-01-27,LAL,PHI,106,107
2021-01-27,MIL,TOR,115,108
2021-01-27,BOS,SAS,106,110
2021-01-27,WAS,NOP,106,124
2021-01-27,OKC,PHX,102,97
2021-01-27,DAL,UTA,104,116
2021-01-27,MIN,GSW,111,123
2021-01-28,POR,HOU,101,104
2021-01-28,LAL,DET,92,107
2021-01-28,LAC,MIA,109,105
2021-01-28,GSW,PHX,93,114
2021-01-29,IND,CHA,105,108
2021-01-29,ATL,WAS,116,100
2021-01-29,CLE,NYK,81,102
2021-01-29,SAC,TOR,126,124
2021-01-29,MIL,NOP,126,131
2021-01-29,LAC,ORL,116,90
2021-01-29,PHI,MIN,118,94
2021-01-29,BKN,OKC,147,125
2021-01-29,DEN,SAS,109,119
2021-01-29,DAL,UTA,101,120
2021-01-30,POR,CHI,123,122
2021-01-30,MIL,CHA,114,126
2021-01-30,HOU,NOP,126,112
2021-01-30,SAC,MIA,104,105
2021-01-30,LAL,BOS,96,95
2021-01-30,MEM,SAS,129,112
2021-01-30,PHX,DAL,111,105
2021-01-30,DET,GSW,91,118
2021-01-31,LAC,NYK,129,115
2021-01-31,UTA,DEN,117,128
2021-01-31,PHI,IND,119,110
2021-01-31,ORL,TOR,102,115
2021-01-31,BKN,WAS,146,149
2021-01-31,CLE,MIN,104,109
2021-02-01,LAL,ATL,107,99
2021-02-01,CHA,MIA,129,121
2021-02-01,MIN,CLE,98,100
2021-02-01,NYK,CHI,102,110
2021-02-01,POR,MIL,106,134
2021-02-01,SAC,NOP,118,109
2021-02-01,HOU,OKC,136,106
2021-02-01,PHX,DAL,109,108
2021-02-01,MEM,SAS,133,102
2021-02-02,TOR,ORL,123,108
2021-02-02,LAC,BKN,120,124
2021-02-02,MEM,IND,116,134
2021-02-02,POR,WAS,132,121
2021-02-02,DET,UTA,105,117
2021-02-02,BOS,GSW,111,107
2021-02-03,PHI,CHA,118,111
2021-02-03,IND,MIL,110,130
2021-02-03,DAL,ATL,122,116
2021-02-03,LAC,CLE,121,99
2021-02-03,WAS,MIA,103,100
2021-02-03,NYK,CHI,107,103
2021-02-03,HOU,OKC,87,104
2021-02-03,MIN,SAS,108,111
2021-02-03,PHX,NOP,101,123
2021-02-03,BOS,SAC,111,116
2021-02-04,UTA,ATL,112,91
2021-02-04,GSW,DAL,147,116
2021-02-04,POR,PHI,121,105
2021-02-04,HOU,MEM,115,103
2021-02-04,DEN,LAL,93,114
2021-02-05,NOP,IND,114,113
2021-02-05,CHI,ORL,119,123
2021-02-05,TOR,BKN,123,117
2021-02-05,MIL,CLE,123,105
2021-02-05,UTA,CHA,138,121
2021-02-05,WAS,MIA,95,122
2021-02-05,MIN,OKC,106,103
2021-02-05,DET,PHX,92,109
2021-02-05,BOS,LAC,119,115
2021-02-06,POR,NYK,99,110
2021-02-06,DEN,SAC,114,119
2021-02-06,CHI,ORL,118,92
2021-02-06,BKN,PHI,108,124
2021-02-06,TOR,ATL,121,132
2021-02-06,MIL,CLE,124,99
2021-02-06,SAS,HOU,111,106
2021-02-06,MIN,OKC,118,120
2021-02-06,GSW,DAL,132,134
2021-02-06,MEM,NOP,109,118
2021-02-06,DET,LAL,129,135
2021-02-07,WAS,CHA,97,119
2021-02-07,UTA,IND,103,95
2021-02-07,MIA,NYK,109,103
2021-02-07,BOS,PHX,91,100
2021-02-07,SAC,LAC,113,110
2021-02-08,HOU,CHA,94,119
2021-02-08,WAS,CHI,105,101
2021-02-08,TOR,MEM,128,113
2021-02-08,MIN,DAL,122,127
2021-02-08,GSW,SAS,100,105
2021-02-08,CLE,PHX,113,119
2021-02-08,MIL,DEN,125,112
2021-02-08,OKC,LAL,112,119
2021-02-09,BKN,DET,111,122
2021-02-09,NYK,MIA,96,98
2021-02-09,HOU,NOP,101,130
2021-02-09,GSW,SAS,114,91
2021-02-09,BOS,UTA,108,122
2021-02-09,ORL,POR,97,106
2021-02-09,PHI,SAC,119,111
2021-02-10,TOR,WAS,137,115
2021-02-10,ATL,DAL,117,118
2021-02-10,IND,BKN,94,104
2021-02-10,CHA,MEM,114,130
2021-02-10,LAC,MIN,119,112
2021-02-10,NOP,CHI,116,129
2021-02-10,CLE,DEN,95,133
2021-02-10,MIL,PHX,124,125
2021-02-10,OKC,LAL,113,114
2021-02-11,MIA,HOU,101,94
2021-02-11,TOR,BOS,106,120
2021-02-11,IND,DET,111,95
2021-02-11,ORL,GSW,105,111
2021-02-11,PHI,POR,114,118
2021-02-12,MIN,CHA,114,120
2021-02-12,NYK,WAS,109,91
2021-02-12,SAS,ATL,125,114
2021-02-12,NOP,DAL,130,143
2021-02-12,LAC,CHI,125,106
2021-02-12,DET,BOS,108,102
2021-02-12,OKC,DEN,95,97
2021-02-12,MIL,UTA,115,129
2021-02-12,MEM,LAL,105,115
2021-02-12,CLE,POR,110,129
2021-02-12,ORL,SAC,123,112
2021-02-13,PHI,PHX,111,120
2021-02-13,IND,ATL,125,113
2021-02-13,HOU,NYK,99,121
2021-02-13,BKN,GSW,134,117
2021-02-13,MIA,UTA,94,112
2021-02-14,BOS,WAS,91,104
2021-02-14,MIN,TOR,116,112
2021-02-14,SAS,CHA,122,110
2021-02-14,NOP,DET,112,123
2021-02-14,POR,DAL,121,118
2021-02-14,MIL,OKC,109,114
2021-02-14,ORL,PHX,90,109
2021-02-14,LAL,DEN,105,122
2021-02-14,MEM,SAC,124,110
2021-02-14,CLE,LAC,111,128
2021-02-15,CHI,IND,120,112
2021-02-15,HOU,WAS,119,131
2021-02-15,ATL,NYK,112,123
2021-02-15,PHI,UTA,123,134
2021-02-15,CLE,GSW,98,129
2021-02-15,MIA,LAC,118,125
2021-02-15,BKN,SAC,136,125
2021-02-16,DEN,BOS,99,112
2021-02-16,NOP,MEM,144,113
2021-02-16,TOR,MIL,124,113
2021-02-16,LAL,MIN,112,104
2021-02-16,POR,OKC,115,104
2021-02-16,BKN,PHX,128,124
2021-02-17,NYK,ORL,89,107
2021-02-17,ATL,BOS,122,114
2021-02-17,HOU,PHI,113,118
2021-02-17,DEN,WAS,128,130
2021-02-17,IND,MIN,134,128
2021-02-17,DET,CHI,102,105
2021-02-17,POR,NOP,126,124
2021-02-17,OKC,MEM,113,122
2021-02-17,MIA,GSW,112,120
2021-02-17,UTA,LAC,114,96
2021-02-18,TOR,MIL,110,96
2021-02-18,BKN,LAL,109,98
2021-02-18,MIA,SAC,118,110
2021-02-19,GSW,ORL,120,124
2021-02-19,DEN,CLE,120,103
2021-02-19,CHI,PHI,105,112
2021-02-19,ATL,BOS,109,121
2021-02-19,DET,MEM,95,109
2021-02-19,OKC,MIL,85,98
2021-02-19,PHX,NOP,132,114
2021-02-19,TOR,MIN,86,81
2021-02-19,UTA,LAC,112,116
2021-02-20,GSW,CHA,100,102
2021-02-20,MIA,LAL,96,94
2021-02-20,SAC,CHI,114,122
2021-02-20,PHX,MEM,128,97
2021-02-20,WAS,POR,118,111
2021-02-21,BOS,NOP,115,120
2021-02-21,OKC,CLE,117,101
2021-02-21,DET,ORL,96,105
2021-02-21,PHI,TOR,103,110
2021-02-21,MIN,NYK,99,103
2021-02-21,DEN,ATL,115,123
2021-02-21,BKN,LAC,112,108
2021-02-21,SAC,MIL,115,128
2021-02-22,CHI,HOU,120,100
2021-02-22,MEM,DAL,92,102
2021-02-22,MIA,OKC,108,94
2021-02-22,POR,PHX,100,132
2021-02-22,CHA,UTA,110,132
2021-02-22,WAS,LAL,127,124
2021-02-23,ATL,CLE,111,112
2021-02-23,DET,ORL,105,93
2021-02-23,SAC,BKN,118,127
2021-02-23,GSW,NYK,114,106
2021-02-23,PHI,TOR,109,102
2021-02-23,BOS,DAL,107,110
2021-02-23,MIN,MIL,112,139
2021-02-23,POR,DEN,106,111
2021-02-23,WAS,LAC,116,135
2021-02-24,GSW,IND,111,107
2021-02-24,BOS,ATL,112,127
2021-02-24,HOU,CLE,96,112
2021-02-24,TOR,MIA,108,116
2021-02-24,MIN,CHI,126,133
2021-02-24,DET,NOP,118,128
2021-02-24,SAS,OKC,99,102
2021-02-24,CHA,PHX,124,121
2021-02-24,LAL,UTA,89,114
2021-02-25,DAL,PHI,97,111
2021-02-25,ORL,BKN,92,129
2021-02-25,SAC,NYK,121,140
2021-02-25,LAC,MEM,94,122
2021-02-25,WAS,DEN,112,110
2021-02-25,NOP,MIL,125,129
2021-02-26,IND,BOS,112,118
2021-02-26,HOU,TOR,111,122
2021-02-26,SAC,DET,110,107
2021-02-26,UTA,MIA,116,124
2021-02-26,PHX,CHI,106,97
2021-02-26,LAC,MEM,119,99
2021-02-26,ATL,OKC,109,118
2021-02-26,CHA,GSW,121,130
2021-02-26,POR,LAL,93,102
2021-02-27,CLE,PHI,112,109
2021-02-27,MIN,WAS,112,128
2021-02-27,NOP,SAS,114,117
2021-02-27,IND,NYK,107,110
2021-02-27,UTA,ORL,124,109
2021-02-27,DEN,OKC,126,96
2021-02-27,DAL,BKN,115,98
2021-02-28,LAC,MIL,100,105
2021-02-28,WAS,BOS,110,111
2021-02-28,NYK,DET,109,90
2021-02-28,ATL,MIA,99,109
2021-02-28,MEM,HOU,133,84
2021-02-28,GSW,LAL,91,117
2021-02-28,PHX,MIN,118,99
2021-02-28,CHA,SAC,127,126
2021-03-01,DAL,ORL,130,124
2021-03-01,IND,PHI,114,130
2021-03-01,DEN,CHI,118,112
2021-03-01,UTA,NOP,124,129
2021-03-01,BKN,SAS,124,113
2021-03-01,CLE,HOU,101,90
2021-03-01,CHA,POR,111,123
2021-03-02,MEM,WAS,125,111
2021-03-02,LAC,BOS,112,117
2021-03-02,ATL,MIA,94,80
2021-03-02,NYK,SAS,93,119
2021-03-02,DEN,MIL,128,97
2021-03-02,PHX,LAL,114,104
2021-03-03,DET,TOR,129,105
2021-03-03,IND,CLE,114,111
2021-03-03,UTA,PHI,123,131
2021-03-03,BKN,HOU,132,114
2021-03-03,ATL,ORL,115,112
2021-03-03,CHA,MIN,135,102
2021-03-03,CHI,NOP,128,124
2021-03-03,OKC,DAL,78,87
2021-03-03,GSW,POR,106,108
2021-03-03,LAL,SAC,120,123
2021-03-04,TOR,BOS,125,132
2021-03-04,LAC,WAS,117,119
2021-03-04,DET,NYK,104,114
2021-03-04,DEN,IND,113,103
2021-03-04,MIL,MEM,112,111
2021-03-04,MIA,NOP,103,93
2021-03-04,OKC,SAS,107,102
2021-03-04,GSW,PHX,98,120
2021-03-04,SAC,POR,119,123
2021-03-10,WAS,MEM,112,127
2021-03-10,SAS,DAL,104,115
2021-03-11,DET,CHA,102,105
2021-03-11,BOS,BKN,109,121
2021-03-11,ATL,TOR,121,120
2021-03-11,ORL,MIA,103,111
